society;n_employe;city;country;command_date;n_command;product_name;total_price
Vaffeljernet;7;Århus;Danemark;29/12/1994;10367;Tourtière;531,00 F
Vaffeljernet;7;Århus;Danemark;29/12/1994;10367;Louisiana Fiery Hot Pepper Sauce;1 260,00 F
Ernst Handel;2;Graz;Autriche;30/12/1994;10368;Wimmers gute Semmelknödel;4 189,50 F
Ernst Handel;2;Graz;Autriche;30/12/1994;10368;Sir Rodney's Scones;180,00 F
Ernst Handel;2;Graz;Autriche;30/12/1994;10368;Ravioli Angelo;1 950,00 F
Split Rail Beer & Ale;8;Lander;États-Unis;02/01/1995;10369;Thüringer Rostbratwurst;9 900,00 F
Chop-suey Chinese;6;Bern;Suisse;03/01/1995;10370;Chai;918,00 F
Chop-suey Chinese;6;Bern;Suisse;03/01/1995;10370;Wimmers gute Semmelknödel;3 990,00 F
Queen Cozinha;5;São Paulo;Brésil;04/01/1995;10372;Sir Rodney's Marmalade;2 916,00 F
Queen Cozinha;5;São Paulo;Brésil;04/01/1995;10372;Côte de Blaye;31 620,00 F
Queen Cozinha;5;São Paulo;Brésil;04/01/1995;10372;Camembert Pierrot;7 140,00 F
Queen Cozinha;5;São Paulo;Brésil;04/01/1995;10372;Mozzarella di Giovanni;4 378,50 F
Hungry Coyote Import Store;3;Elgin;États-Unis;06/01/1995;10375;Tourtière;295,00 F
Hungry Coyote Import Store;3;Elgin;États-Unis;06/01/1995;10375;Tofu;1 395,00 F
Seven Seas Imports;1;London;Royaume-Uni;09/01/1995;10377;Chartreuse verte;1 224,00 F
Seven Seas Imports;1;London;Royaume-Uni;09/01/1995;10377;Rössle Sauerkraut;3 094,00 F
Que Delícia;2;Rio de Janeiro;Brésil;11/01/1995;10379;Jack's New England Clam Chowder;277,20 F
Que Delícia;2;Rio de Janeiro;Brésil;11/01/1995;10379;Vegie-spread;2 527,20 F
Que Delícia;2;Rio de Janeiro;Brésil;11/01/1995;10379;Louisiana Fiery Hot Pepper Sauce;1 512,00 F
Hungry Owl All-Night Grocers;8;Cork;Irlande;12/01/1995;10380;Nord-Ost Matjeshering;1 676,70 F
Hungry Owl All-Night Grocers;8;Cork;Irlande;12/01/1995;10380;Perth Pasties;2 358,00 F
Hungry Owl All-Night Grocers;8;Cork;Irlande;12/01/1995;10380;Camembert Pierrot;734,40 F
Ernst Handel;4;Graz;Autriche;13/01/1995;10382;Thüringer Rostbratwurst;6 930,00 F
Ernst Handel;4;Graz;Autriche;13/01/1995;10382;Chef Anton's Gumbo Mix;2 720,00 F
Ernst Handel;4;Graz;Autriche;13/01/1995;10382;Carnarvon Tigers;2 250,00 F
Around the Horn;8;London;Royaume-Uni;16/01/1995;10383;Konbu;480,00 F
Around the Horn;8;London;Royaume-Uni;16/01/1995;10383;Valkoinen suklaa;975,00 F
Berglunds snabbköp;3;Luleå;Suède;16/01/1995;10384;Sir Rodney's Marmalade;9 072,00 F
Berglunds snabbköp;3;Luleå;Suède;16/01/1995;10384;Camembert Pierrot;2 040,00 F
Split Rail Beer & Ale;1;Lander;États-Unis;17/01/1995;10385;Uncle Bob's Organic Dried Pears;960,00 F
Split Rail Beer & Ale;1;Lander;États-Unis;17/01/1995;10385;Camembert Pierrot;2 176,00 F
Familia Arquibaldo;9;São Paulo;Brésil;18/01/1995;10386;Sasquatch Ale;560,00 F
Santé Gourmet;1;Stavern;Norvège;18/01/1995;10387;Raclette Courdavault;2 640,00 F
Seven Seas Imports;2;London;Royaume-Uni;19/01/1995;10388;Røgede sild;456,00 F
Seven Seas Imports;2;London;Royaume-Uni;19/01/1995;10388;Perth Pasties;5 240,00 F
Bottom-Dollar Markets;4;Tsawassen;Canada;20/01/1995;10389;Tarte au sucre;3 940,00 F
Bottom-Dollar Markets;4;Tsawassen;Canada;20/01/1995;10389;Pâté chinois;1 440,00 F
Ernst Handel;6;Graz;Autriche;23/01/1995;10390;Spegesild;2 160,00 F
Ernst Handel;6;Graz;Autriche;23/01/1995;10390;Steeleye Stout;2 592,00 F
Drachenblut Delikatessen;3;Aachen;Allemagne;23/01/1995;10391;Konbu;432,00 F
Save-a-lot Markets;1;Boise;États-Unis;25/01/1995;10393;Chang;1 425,00 F
Save-a-lot Markets;1;Boise;États-Unis;25/01/1995;10393;Tofu;2 929,50 F
Hungry Coyote Import Store;1;Elgin;États-Unis;25/01/1995;10394;Konbu;240,00 F
Hungry Coyote Import Store;1;Elgin;États-Unis;25/01/1995;10394;Tarte au sucre;1 970,00 F
HILARIÓN-Abastos;6;San Cristóbal;Venezuela;26/01/1995;10395;Spegesild;1 209,60 F
HILARIÓN-Abastos;6;San Cristóbal;Venezuela;26/01/1995;10395;Perth Pasties;8 253,00 F
Frankenversand;1;München;Allemagne;27/01/1995;10396;Tunnbröd;1 440,00 F
Frankenversand;1;München;Allemagne;27/01/1995;10396;Mozzarella di Giovanni;2 919,00 F
Princesa Isabel Vinhos;5;Lisboa;Portugal;27/01/1995;10397;Sir Rodney's Scones;340,00 F
Princesa Isabel Vinhos;5;Lisboa;Portugal;27/01/1995;10397;Manjimup Dried Apples;3 243,60 F
Save-a-lot Markets;2;Boise;États-Unis;30/01/1995;10398;Pâté chinois;10 368,00 F
Save-a-lot Markets;2;Boise;États-Unis;30/01/1995;10398;Steeleye Stout;2 160,00 F
Vaffeljernet;8;Århus;Danemark;31/01/1995;10399;Scottish Longbreads;3 000,00 F
